player,born,nation,positions,team_count,league_count,season_count,teams,leagues,seasons,player_id,matched_name,match_type,matched_flag,join_player,born_int
Pablo Martinez,1989.0,FRA,DF,2,1,3,"Nîmes, Strasbourg",FRA-Ligue 1,"2018-19, 2019-20, 2020-21",282900.0,Pablo Martínez,exact_name_plus_birth_year,True,pablo martinez,1989
Pablo Martínez,1998.0,ESP,MF,1,1,3,Levante,ESP-La Liga,"2019-20, 2020-21, 2021-22",568835.0,Pablo Martínez,exact_name_plus_birth_year,True,pablo martínez,1998
Pablo Marí,1993.0,ESP,DF,3,2,5,"Arsenal, Monza, Udinese","ENG-Premier League, ITA-Serie A","2019-20, 2020-21, 2021-22, 2022-23, 2023-24",210178.0,Pablo Marí,exact_name_plus_birth_year,True,pablo marí,1993
Pablo Marín,2003.0,ESP,MF,1,1,2,Real Sociedad,ESP-La Liga,"2022-23, 2023-24",907813.0,Pablo Marín,exact_name_plus_birth_year,True,pablo marín,2003
Pablo Moreno,2002.0,ESP,FW,1,1,1,Juventus,ITA-Serie A,2018-19,466811.0,Pablo Moreno,exact_name_plus_birth_year,True,pablo moreno,2002
Pablo Muñoz,2003.0,ESP,MF,1,1,2,Rayo Vallecano,ESP-La Liga,"2022-23, 2023-24",1045767.0,Pablo Muñoz,exact_name_plus_birth_year,True,pablo muñoz,2003
Pablo Pagis,2002.0,FRA,MF,1,1,3,Lorient,FRA-Ligue 1,"2021-22, 2022-23, 2023-24",810411.0,Pablo Pagis,exact_name_plus_birth_year,True,pablo pagis,2002
Pablo Piatti,1989.0,ARG,"FW,MF, MF, MF,FW",2,1,4,"Elche, Espanyol",ESP-La Liga,"2018-19, 2019-20, 2020-21, 2021-22",56067.0,Pablo Piatti,exact_name_plus_birth_year,True,pablo piatti,1989
Pablo Picón,2000.0,ESP,GK,1,1,1,Levante,ESP-La Liga,2021-22,611202.0,Pablo Picón,exact_name_plus_birth_year,True,pablo picón,2000
Pablo Pérez,2001.0,ESP,DF,1,1,3,Sevilla,ESP-La Liga,"2019-20, 2020-21, 2021-22",711628.0,Pablo Pérez,exact_name_plus_birth_year,True,pablo pérez,2001
Pablo Ramon,2001.0,ESP,DF,1,1,1,Real Madrid,ESP-La Liga,2020-21,629511.0,Pablo Ramón,exact_name_plus_birth_year,True,pablo ramon,2001
Pablo Ramírez,2003.0,ESP,DF,1,1,1,Getafe,ESP-La Liga,2022-23,979355.0,Pablo Ramirez,exact_name_plus_birth_year,True,pablo ramírez,2003
Pablo Rodríguez,2001.0,ESP,"FW,MF",1,1,1,Lecce,ITA-Serie A,2022-23,537765.0,Pablo Rodríguez,exact_name_plus_birth_year,True,pablo rodríguez,2001
Pablo Rosario,1997.0,DOM,"MF, MF,DF",1,1,3,Nice,FRA-Ligue 1,"2021-22, 2022-23, 2023-24",370791.0,Pablo Rosario,exact_name_plus_birth_year,True,pablo rosario,1997
Pablo Saenz,2001.0,ESP,MF,1,1,1,Granada,ESP-La Liga,2023-24,821820.0,Pablo Sáenz,exact_name_plus_birth_year,True,pablo saenz,2001
Pablo Sarabia,1992.0,ESP,"FW,MF, MF, MF,FW",3,3,6,"Paris Saint-Germain, Sevilla, Wolves","ENG-Premier League, ESP-La Liga, FRA-Ligue 1","2018-19, 2019-20, 2020-21, 2021-22, 2022-23, 2023-24",74230.0,Pablo Sarabia,exact_name_plus_birth_year,True,pablo sarabia,1992
Pablo Torre,2003.0,ESP,"FW, MF",2,1,2,"Barcelona, Girona",ESP-La Liga,"2022-23, 2023-24",720038.0,Pablo Torre,exact_name_plus_birth_year,True,pablo torre,2003
Pablo Valencia,2001.0,ESP,GK,1,1,2,Osasuna,ESP-La Liga,"2022-23, 2023-24",634117.0,Pablo Valencia,exact_name_plus_birth_year,True,pablo valencia,2001
Pablo Zabaleta,1985.0,ARG,"DF, DF,MF",1,1,2,West Ham United,ENG-Premier League,"2018-19, 2019-20",20007.0,Pablo Zabaleta,exact_name_plus_birth_year,True,pablo zabaleta,1985
Pablo de Blasis,1988.0,ARG,"DF,MF, MF, MF,DF",2,2,2,"Eibar, Mainz 05","ESP-La Liga, GER-Bundesliga","2018-19, 2019-20",75446.0,Pablo de Blasis,exact_name_plus_birth_year,True,pablo de blasis,1988
Paco Alcácer,1993.0,ESP,FW,2,2,4,"Dortmund, Villarreal","ESP-La Liga, GER-Bundesliga","2018-19, 2019-20, 2020-21, 2021-22",126716.0,Paco Alcácer,exact_name_plus_birth_year,True,paco alcácer,1993
Paco Sanz,2004.0,ESP,DF,1,1,1,Almería,ESP-La Liga,2023-24,1064116.0,Paco Sanz,exact_name_plus_birth_year,True,paco sanz,2004
Paik Seung-ho,1997.0,KOR,MF,1,1,1,Girona,ESP-La Liga,2018-19,,,,False,paik seung-ho,1997
Palkó Dárdai,1999.0,HUN,MF,1,1,2,Hertha BSC,GER-Bundesliga,"2018-19, 2019-20",300508.0,Palkó Dárdai,exact_name_plus_birth_year,True,palkó dárdai,1999
Panagiotis Retsos,1998.0,GRE,DF,4,4,4,"Hellas Verona, Leverkusen, Saint-Étienne, Sheffield United","ENG-Premier League, FRA-Ligue 1, GER-Bundesliga, ITA-Serie A","2019-20, 2020-21, 2021-22, 2022-23",324351.0,Panagiotis Retsos,exact_name_plus_birth_year,True,panagiotis retsos,1998
Panagiotis Tachtsidis,1991.0,GRE,MF,1,1,1,Lecce,ITA-Serie A,2019-20,62415.0,Panagiotis Tachtsidis,exact_name_plus_birth_year,True,panagiotis tachtsidis,1991
Panagiotis Vlachodimos,1991.0,GRE,"FW,MF",1,1,1,Nîmes,FRA-Ligue 1,2018-19,83700.0,Panagiotis Vlachodimos,exact_name_plus_birth_year,True,panagiotis vlachodimos,1991
Panos Katseris,2001.0,GRE,MF,1,1,1,Lorient,FRA-Ligue 1,2023-24,816308.0,Panos Katseris,exact_name_plus_birth_year,True,panos katseris,2001
Pantelis Hatzidiakos,1997.0,GRE,DF,1,1,1,Cagliari,ITA-Serie A,2023-24,144244.0,Pantelis Hatzidiakos,exact_name_plus_birth_year,True,pantelis hatzidiakos,1997
Panzu Ernesto,1999.0,ANG,DF,1,1,1,Hertha BSC,GER-Bundesliga,2018-19,296363.0,Panzu Ernesto,exact_name_plus_birth_year,True,panzu ernesto,1999
Paolo Bartolomei,1989.0,ITA,MF,1,1,1,Spezia,ITA-Serie A,2020-21,281900.0,Paolo Bartolomei,exact_name_plus_birth_year,True,paolo bartolomei,1989
Paolo Cannistrà,2000.0,ITA,DF,1,1,1,SPAL,ITA-Serie A,2019-20,479709.0,Paolo Cannistrà,exact_name_plus_birth_year,True,paolo cannistrà,2000
Paolo Faragò,1993.0,ITA,"DF, DF,MF, MF,DF",2,1,4,"Bologna, Cagliari",ITA-Serie A,"2018-19, 2019-20, 2020-21, 2021-22",167796.0,Paolo Faragò,exact_name_plus_birth_year,True,paolo faragò,1993
Paolo Ghiglione,1997.0,ITA,"MF, MF,DF",3,1,5,"Cremonese, Frosinone, Genoa",ITA-Serie A,"2018-19, 2019-20, 2020-21, 2021-22, 2022-23",313477.0,Paolo Ghiglione,exact_name_plus_birth_year,True,paolo ghiglione,1997
Paolo Gozzi Iweru,2001.0,ITA,DF,1,1,1,Juventus,ITA-Serie A,2018-19,,,,False,paolo gozzi iweru,2001
Paolo Lebas,2003.0,FRA,MF,1,1,1,Ajaccio,FRA-Ligue 1,2022-23,657919.0,Paolo Lebas,exact_name_plus_birth_year,True,paolo lebas,2003
Paolo Sammarco,1983.0,ITA,MF,1,1,1,Frosinone,ITA-Serie A,2018-19,7101.0,Paolo Sammarco,exact_name_plus_birth_year,True,paolo sammarco,1983
Paolo Sciortino,2003.0,FRA,MF,1,1,2,Marseille,FRA-Ligue 1,"2020-21, 2021-22",805476.0,Paolo Sciortino,exact_name_plus_birth_year,True,paolo sciortino,2003
Paolo Vismara,2003.0,ITA,GK,1,1,1,Atalanta,ITA-Serie A,2023-24,650256.0,Paolo Vismara,exact_name_plus_birth_year,True,paolo vismara,2003
Papa Amadou Diallo,2004.0,SEN,"MF,FW",1,1,1,Metz,FRA-Ligue 1,2023-24,1099726.0,Papa Amadou Diallo,exact_name_plus_birth_year,True,papa amadou diallo,2004
Papa Ndiaga Yade,2000.0,MTN,"FW,MF, MF,DF, MF,FW",2,1,4,"Metz, Troyes",FRA-Ligue 1,"2019-20, 2020-21, 2021-22, 2022-23",568702.0,Papa Ndiaga Yade,exact_name_plus_birth_year,True,papa ndiaga yade,2000
Papakouli Diop,1986.0,SEN,MF,1,1,3,Eibar,ESP-La Liga,"2018-19, 2019-20, 2020-21",,,,False,papakouli diop,1986
Pape Abou Cissé,1995.0,SEN,DF,1,1,1,Saint-Étienne,FRA-Ligue 1,2020-21,364234.0,Pape Abou Cissé,exact_name_plus_birth_year,True,pape abou cissé,1995
Pape Cheikh Diop,1997.0,SEN,MF,4,2,4,"Celta Vigo, Dijon, Elche, Lyon","ESP-La Liga, FRA-Ligue 1","2018-19, 2019-20, 2020-21, 2022-23",,,,False,pape cheikh diop,1997
Pape Gueye,1999.0,SEN,"MF, MF,DF",2,2,4,"Marseille, Sevilla","ESP-La Liga, FRA-Ligue 1","2020-21, 2021-22, 2022-23, 2023-24",485963.0,Pape Gueye,exact_name_plus_birth_year,True,pape gueye,1999
Pape Matar Sarr,2002.0,SEN,MF,2,2,4,"Metz, Tottenham Hotspur","ENG-Premier League, FRA-Ligue 1","2020-21, 2021-22, 2022-23, 2023-24",568693.0,Pape Matar Sarr,exact_name_plus_birth_year,True,pape matar sarr,2002
Pape Souaré,1990.0,SEN,DF,1,1,1,Crystal Palace,ENG-Premier League,2018-19,125868.0,Pape Souaré,exact_name_plus_birth_year,True,pape souaré,1990
